generation,score,plaintext
198,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
199,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
200,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
201,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
202,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
203,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
204,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
205,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
206,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
207,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
208,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
209,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
210,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
211,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
212,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
213,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
214,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
215,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
216,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
217,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
218,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
219,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
220,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
221,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
222,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
223,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
224,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
225,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
226,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
227,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
228,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
229,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
230,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
231,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
232,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
233,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
234,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
235,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
236,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
237,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
238,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
239,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
240,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
241,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
242,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
243,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
244,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
245,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
246,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
247,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
248,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
249,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
250,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
251,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
252,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
253,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
254,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
255,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
256,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
257,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
258,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
259,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
260,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
261,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
262,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
263,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
264,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
265,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
266,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
267,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
268,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
269,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
270,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
271,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
272,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
273,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
274,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
275,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
276,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
277,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
278,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
279,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
280,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
281,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
282,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
283,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
284,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
285,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
286,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
287,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
288,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
289,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
290,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
291,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
292,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
293,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
294,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
295,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
296,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
297,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
298,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
299,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
300,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
301,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
302,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
303,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
304,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
305,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
306,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
307,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
308,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
309,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
310,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
311,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
312,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
313,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
314,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
315,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
316,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
317,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
318,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
319,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
320,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
321,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
322,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
323,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
324,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
325,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
326,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
327,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
328,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
329,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
330,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
331,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
332,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
333,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
334,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
335,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
336,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
337,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
338,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
339,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
340,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
341,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
342,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
343,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
344,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
345,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
346,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
347,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
