restart,score,plaintext
27,-201.16984594358394,FDUVZXFIGHTYBXSIXUJTIONVUAAHFUF
9,-208.05796925088183,RUJZVNRCAPTIONMCNJLTCYWZJBBPRJR
11,-208.05796925088183,YKOIBDYVMPLSJDEVDOWLVRTIONNPYOY
18,-208.05796925088183,UAHDRNUGQLTIONJGNHMTGSYDHXXLUHU
22,-208.05796925088183,DWQNJRDTZSMUXRFTRQYMTIONQBBSDQD
32,-208.05796925088183,UZMAHOUXKSRTIONXOMBRXGJAMVVSUMU
63,-208.05796925088183,OYNVSGOQDIJXMGZQGNUJQLCVNTTIONO
79,-208.05796925088183,GVOZPIGTHQEULISTIONETDAZOYYQGOG
93,-208.05796925088183,ORNKXAOCZIFUEADCANVFCBMKNTTIONO
100,-208.05796925088183,JKNGQOJIWBSXUOTIONVSIYEGNDDBJNJ
120,-208.05796925088183,CJSPZDCOVGIQADUODSTIONLPSBBGCSC
121,-208.05796925088183,WZSNERWTUVCGARQTRSJCTIONSBBVWSW
123,-208.05796925088183,YLNCJOYIDPHGEOTIONKHISQCNAAPYNY
147,-208.05796925088183,YCIVUTYMARNEFTPMTIONMBWVIXXRYIY
156,-208.05796925088183,XJIQGTXVKANRMTBVTIONVCFQISSAXIX
171,-208.05796925088183,HATDCYHNBGOMZYFNYTIONJPDTXXGHTH
174,-208.05796925088183,ZUOIFAZLBGDHJAPLAOKDLQTIONNGZOZ
194,-208.05796925088183,BFIVATBQSRNXDTJQTIONQKPVIEERBIB
204,-208.05796925088183,ASZQPYAICBTMWYGIYZVTIONQZEEBAZA
257,-208.05796925088183,PDNOGXPBQYLJFXSBXNELBTIONHHYPNP
277,-208.05796925088183,LGKDZMLSFTIONMUSMKPISHVDKYYTLKL
289,-208.05796925088183,DBYXANDRJMTIONZRNYHTRQFXYCCMDYD
293,-208.05796925088183,JDQUFOJWKBETIONWOQSEWPYUQLLBJQJ
296,-208.05796925088183,VWOPYIVTDRKJBISTIONKTQEPOGGRVOV
309,-208.05796925088183,JWXGBUJICVTELUFIUXZTIONGXPPVJXJ
322,-208.05796925088183,OFNBMVOKAIJXSVQKVNHJKRYBNTTIONO
330,-208.05796925088183,AGSVXUAIEKTPYUWIUSDTIONVSQQKASA
354,-208.05796925088183,MZTPBAMNRCOJDAUNATIONXYPTSSCMTM
361,-208.05796925088183,KXGRLOKMEFSTIONMOGDSMUCRGBBFKGK
366,-208.05796925088183,UJOKCIUTRGLWVIATIONLTPZKOYYGUOU
376,-208.05796925088183,EBOAQIETZXMRGICTIONMTJVAOUUXEOE
