restart,score,plaintext
165,-188.1736702327651,NBMBEZPNHHDHLQNYHEREKXNQXBRUVJP
166,-215.15842251088048,WZNZJRGWOOSOXKWFOJQJULWKLZQIPCG
167,-215.15842251088048,BQMQZDLBKKUKWCBNKZFZOPBCPQFYARL
168,-119.27338907561068,IVKVEUNIHHPHLWITHEREBYIWYVRDMGN
169,-215.15842251088048,FOVOZLCFEEJEYNFTEZMZXSFNSOMDGHC
170,-215.15842251088048,VNMNFCEVZZIZWRVGZFQFBJVRJNQOYAE
171,-215.15842251088048,ZPWPFUYZNNXNJEZTNFGFCQZEQPGKOSY
172,-215.15842251088048,ARXREFLATTOTPWASTEZEBVAWVRZQDML
173,-215.15842251088048,AKGKNTJARRWRYPASRNONVHAPHKOQDLJ
174,-215.15842251088048,JTBTILUJQQZQSFJCQIAIXRJFRTAOHVU
175,-215.15842251088048,NCECTUZNAAMAVDNXATFTGINDICFRPYZ
176,-188.1736702327651,HEREBICHOONODVHJOBWBPFHVFEWLMKC
177,-208.2702992035826,QIJIGHTQYYPYRMQOYGDGXUQMUIDVABT
178,-215.15842251088048,PGXGMSYPUUIUTWPNUMDMBAPWAGDVLKY
179,-183.31233293052253,PWNWITHPQQDQUYPZQISIFLPYLWSAJOH
180,-215.15842251088048,FUQUJXIFMMYMLTFSMJGJPKFTKUGDRBI
181,-188.1736702327651,HEREUFTHCCPCYWHMCUJUDZHWZEJSXVT
182,-215.15842251088048,YVQVXRAYEEZEDFYUEXPXWCYFCVPLGMA
183,-215.15842251088048,DIQIVRLDWWAWYKDTWVFVZJDKJIFBMCL
184,-183.31233293052253,QMGMTSPQIIVICYQWITHTFJQYJMHDENP
185,-215.15842251088048,HCQCDVYHLLOLBSHXLDGDEWHSWCGAUZY
186,-208.2702992035826,KGIGHTLKRRYRFMKZRHNHVUKMUGNCADL
187,-169.15768809372744,TNDNRAGTEEFEWITHERXRPOTIONXLQUG
188,-215.15842251088048,CLRLWENCGGSGVTCJGWMWBXCTXLMOPKN
189,-215.15842251088048,COVOAKQCBBZBDPCSBAYAUMCPMOYITFQ
190,-215.15842251088048,XKPKTQBXVVEVSZXFVTDTNJXZJKDRGMB
191,-215.15842251088048,SLPLNHBSDDMDWISXDNUNCGSIGLUEFZB
192,-215.15842251088048,MSGSCBVMLLJLTOMZLCFCHXMOXSFQKNV
193,-215.15842251088048,OHZHBLVOJJUJTROGJBKBMYORYHKCQXV
194,-183.31233293052253,PIWITHGPJJKJYQPVJTMTFZPQZIMDCNG
195,-215.15842251088048,GEBEHCYGKKDKQSGXKHAHJFGSFEAUWNY
196,-176.25814135372607,EMAMIQSEFFDFJRENFIWITHERHMWPCXS
197,-188.1736702327651,HEREQVWHOOMONIHUOQAQSZHIZEAFYBW
198,-183.3123329305225,TOYOAFCTMMXMBHTQMANAWITHIONUDZC
199,-208.2702992035826,ZNFNGDAZUUXUYQZKUGIGHTZQTNIMPSA
200,-151.11947865596866,AXDXEGYAHHCHNLATHEREZBALBXROIVY
