restart,score,plaintext
166,-215.15842251088048,PNHOIXPKVUQBDXAKXHZQKSWOHCCUPHP
167,-215.15842251088048,FJEPRWFQKAOGMWYQWETOQSUPEVVAFEF
168,-215.15842251088048,ZPKYJNZMLODQTNGMNKUDMRSYKHHOZKZ
169,-208.05796925088185,OEHATIONXPSZBIDNIHKSNQYAHCCPOHO
170,-215.15842251088048,GXCQYFGWAJHSBFZWFCUHWLTQCMMJGCG
171,-208.05796925088183,HATDCYHNBGOMZYFNYTIONJPDTXXGHTH
172,-215.15842251088048,KFWSNPKRYMDBTPORPWLDRVCSWZZMKWK
173,-208.2702992035826,NVDAJYNQPIGHTYUQYDMGQCRADBBINDN
174,-208.05796925088183,ZUOIFAZLBGDHJAPLAOKDLQTIONNGZOZ
175,-208.05796925088185,DWQURCDXTIONLCBXCQSOXJPUQVVIDQD
176,-215.15842251088048,UBOJNAUYSVZFLAXYAOCZYMEJOIIVUOU
177,-215.15842251088048,ZVJMYCZKHXTSUCOKCJNTKEQMJWWXZJZ
178,-208.2702992035826,YZGSFIYAEVTPNIDAIGHTALCSGUUVYGY
179,-208.10423093408406,KMSFCUKEJGHBDUVEUSTHERZFSPPGKSK
180,-215.15842251088048,FZTXPWFROASHUWDRWTVSRMJXTLLAFTF
181,-208.05796925088185,TIONFLTXKAUWMLYXLODUXJPNOGGATOT
182,-176.2581413537261,TLYFWITHERPQZICHIYSPHVOFYNNRTYT
183,-215.15842251088048,MOLUTAMGCDBKRAFGALZBGXEULWWDMLM
184,-215.15842251088048,BDKVGTBUCOMQLTPUTKAMUSEVKYYOBKB
185,-215.15842251088048,QPCVRLQDUTBZMLIDLCFBDAGVCOOTQCQ
186,-188.1736702327651,ECRIQVENGHPDFVBNVRSPNLAIRZZHERE
187,-208.05796925088185,OUDKTIONZFCYRIGNIDECNVLKDXXFODO
188,-188.1736702327651,EKRDXPEMGHFBVPZMPRNFMLCDROOHERE
189,-215.15842251088048,JKMSQUJAZCGBOUDAUMFGANWSMRRCJMJ
190,-208.2702992035826,USHGYCUEFLPOJCAECHKPEZIGHTTLUHU
191,-215.15842251088048,TVSXKPTCQZYOHPGCPSBYCUJXSLLZTST
192,-215.15842251088048,MEVLBSMPNCGQISYPSVWGPOHLVXXCMVM
193,-183.3123329305225,GXHTPUGAFORSVUCAUHMRAWITHJJOGHG
194,-208.05796925088183,BFIVATBQSRNXDTJQTIONQKPVIEERBIB
195,-215.15842251088048,KOSFECKHXDIMTCLHCSZIHBAFSQQDKSK
196,-215.15842251088048,CODJUBCQNXAHMBGQBDWAQPZJDEEXCDC
197,-208.10423093408406,THERPXTNSJQMVXANXEZQNFWREGGJTET
198,-215.15842251088048,SPVWUFSNRXILHFJNFVZINBOWVAAXSVS
199,-208.2702992035826,NVIGHTNJMAQULTFJTIZQJCDGIYYANIN
200,-188.1736702327651,EYRDNGECWHZFJGKCGRXZCBIDRLLHERE
201,-215.15842251088048,LKETCJLYWBZVXJIYJEFZYUATERRBLEL
202,-215.15842251088048,XLMKQHXZDRYUCHSZHMOYZWFKMNNRXMX
203,-188.1736702327651,EFROCMEKQHAWPMXKMRGAKDUORJJHERE
204,-208.05796925088183,ASZQPYAICBTMWYGIYZVTIONQZEEBAZA
205,-215.15842251088048,BVHWCNBIZUDPYNKINHLDIJMWHEEUBHB
